id,title,authors,link,tags,originally_announced_at
757,On the Long-Term Memory of Deep Recurrent Networks,"['Yoav Levine', 'Or Sharir', 'Alon Ziv', 'Amnon Shashua']",https://arxiv.org/abs/1710.09431,"['cs.LG', 'cs.NE']","Submitted 6 June, 2018; v1 submitted 25 October, 2017;
      originally announced October 2017."
758,Speeding up Context-based Sentence Representation Learning with Non-autoregressive Convolutional Decoding,"['Shuai Tang', 'Hailin Jin', 'Chen Fang', 'Zhaowen Wang', 'Virginia R. de Sa']",https://arxiv.org/abs/1710.10380,"['cs.NE', 'cs.CL', 'cs.LG']","Submitted 31 May, 2018; v1 submitted 27 October, 2017;
      originally announced October 2017."
759,A Study of All-Convolutional Encoders for Connectionist Temporal Classification,"['Kalpesh Krishna', 'Liang Lu', 'Kevin Gimpel', 'Karen Livescu']",https://arxiv.org/abs/1710.10398,['cs.CL'],"Submitted 15 February, 2018; v1 submitted 28 October, 2017;
      originally announced October 2017."
760,Fraternal Dropout,"['Konrad Zolna', 'Devansh Arpit', 'Dendi Suhubdy', 'Yoshua Bengio']",https://arxiv.org/abs/1711.00066,"['stat.ML', 'cs.AI', 'cs.LG']","Submitted 28 March, 2018; v1 submitted 31 October, 2017;
      originally announced November 2017."
761,Reducing Model Complexity for DNN Based Large-Scale Audio Classification,"['Yuzhong Wu', 'Tan Lee']",https://arxiv.org/abs/1711.00229,"['cs.SD', 'eess.AS']","Submitted 30 October, 2018; v1 submitted 1 November, 2017;
      originally announced November 2017."
762,Generalization without systematicity: On the compositional skills of sequence-to-sequence recurrent networks,"['Brenden M. Lake', 'Marco Baroni']",https://arxiv.org/abs/1711.00350,"['cs.CL', 'cs.AI', 'cs.LG']","Submitted 6 June, 2018; v1 submitted 30 October, 2017;
      originally announced November 2017."
763,Bayesian Recurrent Neural Network Models for Forecasting and Quantifying Uncertainty in Spatial-Temporal Data,"['Patrick L. McDermott', 'Christopher K. Wikle']",https://arxiv.org/abs/1711.00636,"['stat.ME', 'stat.ML']","Submitted 6 February, 2018; v1 submitted 2 November, 2017;
      originally announced November 2017."
764,Performance Evaluation of Channel Decoding With Deep Neural Networks,"['Wei Lyu', 'Zhaoyang Zhang', 'Chunxu Jiao', 'Kangjian Qin', 'Huazi Zhang']",https://arxiv.org/abs/1711.00727,"['eess.SP', 'cs.LG', 'cs.NE']","Submitted 31 January, 2018; v1 submitted 1 November, 2017;
      originally announced November 2017."
765,Expressive power of recurrent neural networks,"['Valentin Khrulkov', 'Alexander Novikov', 'Ivan Oseledets']",https://arxiv.org/abs/1711.00811,['cs.LG'],"Submitted 7 February, 2018; v1 submitted 2 November, 2017;
      originally announced November 2017."
766,Neural Speed Reading via Skim-RNN,"['Minjoon Seo', 'Sewon Min', 'Ali Farhadi', 'Hannaneh Hajishirzi']",https://arxiv.org/abs/1711.02085,['cs.CL'],"Submitted 28 March, 2018; v1 submitted 6 November, 2017;
      originally announced November 2017."
767,A New Hybrid-parameter Recurrent Neural Networks for Online Handwritten Chinese Character Recognition,"['Haiqing Ren', 'Weiqiang Wang']",https://arxiv.org/abs/1711.02809,['cs.CV'],"Submitted 29 July, 2018; v1 submitted 7 November, 2017;
      originally announced November 2017."
768,Traffic Prediction Based on Random Connectivity in Deep Learning with Long Short-Term Memory,"['Yuxiu Hua', 'Zhifeng Zhao', 'Rongpeng Li', 'Xianfu Chen', 'Zhiming Liu', 'Honggang Zhang']",https://arxiv.org/abs/1711.02833,"['cs.NI', 'cs.NE']","Submitted 3 April, 2018; v1 submitted 8 November, 2017;
      originally announced November 2017."
769,Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,"['Zhilin Yang', 'Zihang Dai', 'Ruslan Salakhutdinov', 'William W. Cohen']",https://arxiv.org/abs/1711.03953,"['cs.CL', 'cs.LG']","Submitted 2 March, 2018; v1 submitted 10 November, 2017;
      originally announced November 2017."
770,Unsupervised Document Embedding With CNNs,"['Chundi Liu', 'Shunan Zhao', 'Maksims Volkovs']",https://arxiv.org/abs/1711.04168,"['cs.CL', 'cs.LG', 'stat.ML']","Submitted 19 February, 2018; v1 submitted 11 November, 2017;
      originally announced November 2017."
771,Multilingual Adaptation of RNN Based ASR Systems,"['Markus Müller', 'Sebastian Stüker', 'Alex Waibel']",https://arxiv.org/abs/1711.04569,"['eess.AS', 'cs.AI', 'cs.CL']","Submitted 27 February, 2018; v1 submitted 13 November, 2017;
      originally announced November 2017."
772,A Hierarchical Contextual Attention-based GRU Network for Sequential Recommendation,"['Qiang Cui', 'Shu Wu', 'Yan Huang', 'Liang Wang']",https://arxiv.org/abs/1711.05114,['cs.IR'],"Submitted 5 February, 2018; v1 submitted 14 November, 2017;
      originally announced November 2017."
773,Recurrent Neural Networks as Weighted Language Recognizers,"['Yining Chen', 'Sorcha Gilroy', 'Andreas Maletti', 'Jonathan May', 'Kevin Knight']",https://arxiv.org/abs/1711.05408,"['cs.FL', 'cs.CC', 'cs.CL']","Submitted 4 March, 2018; v1 submitted 14 November, 2017;
      originally announced November 2017."
774,Deep Temporal-Recurrent-Replicated-Softmax for Topical Trends over Time,"['Pankaj Gupta', 'Subburam Rajaram', 'Hinrich Schütze', 'Bernt Andrassy']",https://arxiv.org/abs/1711.05626,"['cs.CL', 'cs.AI', 'cs.IR', 'cs.LG']","Submitted 1 May, 2018; v1 submitted 15 November, 2017;
      originally announced November 2017."
775,"Chipmunk: A Systolically Scalable 0.9 mm${}^2$, 3.08 Gop/s/mW @ 1.2 mW Accelerator for Near-Sensor Recurrent Neural Network Inference","['Francesco Conti', 'Lukas Cavigelli', 'Gianna Paulin', 'Igor Susmelj', 'Luca Benini']",https://arxiv.org/abs/1711.05734,"['cs.DC', 'cs.LG', 'cs.NE', 'cs.SD']","Submitted 20 February, 2018; v1 submitted 15 November, 2017;
      originally announced November 2017."
776,An Encoder-Decoder Framework Translating Natural Language to Database Queries,"['Ruichu Cai', 'Boyan Xu', 'Xiaoyan Yang', 'Zhenjie Zhang', 'Zijian Li', 'Zhihao Liang']",https://arxiv.org/abs/1711.06061,['cs.CL'],"Submitted 9 June, 2018; v1 submitted 16 November, 2017;
      originally announced November 2017."
777,Excitation Backprop for RNNs,"['Sarah Adel Bargal', 'Andrea Zunino', 'Donghyun Kim', 'Jianming Zhang', 'Vittorio Murino', 'Stan Sclaroff']",https://arxiv.org/abs/1711.06778,['cs.CV'],"Submitted 8 March, 2018; v1 submitted 17 November, 2017;
      originally announced November 2017."
778,MinimalRNN: Toward More Interpretable and Trainable Recurrent Neural Networks,['Minmin Chen'],https://arxiv.org/abs/1711.06788,"['stat.ML', 'cs.LG']","Submitted 19 June, 2018; v1 submitted 17 November, 2017;
      originally announced November 2017."
779,Residual Gated Graph ConvNets,"['Xavier Bresson', 'Thomas Laurent']",https://arxiv.org/abs/1711.07553,"['cs.LG', 'stat.ML']","Submitted 24 April, 2018; v1 submitted 20 November, 2017;
      originally announced November 2017."
780,Multi-Level Recurrent Residual Networks for Action Recognition,"['Zhenxing Zheng', 'Gaoyun An', 'Qiuqi Ruan']",https://arxiv.org/abs/1711.08238,['cs.CV'],"Submitted 3 January, 2018; v1 submitted 22 November, 2017;
      originally announced November 2017."
781,RGB-D-based Human Motion Recognition with Deep Learning: A Survey,"['Pichao Wang', 'Wanqing Li', 'Philip Ogunbona', 'Jun Wan', 'Sergio Escalera']",https://arxiv.org/abs/1711.08362,['cs.CV'],"Submitted 24 April, 2018; v1 submitted 31 October, 2017;
      originally announced November 2017."
782,Code Completion with Neural Attention and Pointer Networks,"['Jian Li', 'Yue Wang', 'Michael R. Lyu', 'Irwin King']",https://arxiv.org/abs/1711.09573,"['cs.CL', 'cs.SE']","Submitted 14 May, 2018; v1 submitted 27 November, 2017;
      originally announced November 2017."
783,Recurrent Segmentation for Variable Computational Budgets,"['Lane McIntosh', 'Niru Maheswaranathan', 'David Sussillo', 'Jonathon Shlens']",https://arxiv.org/abs/1711.10151,['cs.CV'],"Submitted 14 March, 2018; v1 submitted 28 November, 2017;
      originally announced November 2017."
784,SMILES2Vec: An Interpretable General-Purpose Deep Neural Network for Predicting Chemical Properties,"['Garrett B. Goh', 'Nathan O. Hodas', 'Charles Siegel', 'Abhinav Vishnu']",https://arxiv.org/abs/1712.02034,"['stat.ML', 'cs.AI', 'cs.CL', 'cs.LG']","Submitted 18 March, 2018; v1 submitted 5 December, 2017;
      originally announced December 2017."
785,Attacking Visual Language Grounding with Adversarial Examples: A Case Study on Neural Image Captioning,"['Hongge Chen', 'Huan Zhang', 'Pin-Yu Chen', 'Jinfeng Yi', 'Cho-Jui Hsieh']",https://arxiv.org/abs/1712.02051,['cs.CV'],"Submitted 21 May, 2018; v1 submitted 6 December, 2017;
      originally announced December 2017."
786,Using Rule-Based Labels for Weak Supervised Learning: A ChemNet for Transferable Chemical Property Prediction,"['Garrett B. Goh', 'Charles Siegel', 'Abhinav Vishnu', 'Nathan O. Hodas']",https://arxiv.org/abs/1712.02734,"['stat.ML', 'cs.AI', 'cs.CV', 'cs.LG']","Submitted 18 March, 2018; v1 submitted 7 December, 2017;
      originally announced December 2017."
787,Direction-aware Spatial Context Features for Shadow Detection,"['Xiaowei Hu', 'Lei Zhu', 'Chi-Wing Fu', 'Jing Qin', 'Pheng-Ann Heng']",https://arxiv.org/abs/1712.04142,['cs.CV'],"Submitted 16 May, 2018; v1 submitted 12 December, 2017;
      originally announced December 2017."
788,Learning Compact Recurrent Neural Networks with Block-Term Tensor Decomposition,"['Jinmian Ye', 'Linnan Wang', 'Guangxi Li', 'Di Chen', 'Shandian Zhe', 'Xinqi Chu', 'Zenglin Xu']",https://arxiv.org/abs/1712.05134,"['cs.LG', 'stat.ML']","Submitted 11 May, 2018; v1 submitted 14 December, 2017;
      originally announced December 2017."
789,LSTM Pose Machines,"['Yue Luo', 'Jimmy Ren', 'Zhouxia Wang', 'Wenxiu Sun', 'Jinshan Pan', 'Jianbo Liu', 'Jiahao Pang', 'Liang Lin']",https://arxiv.org/abs/1712.06316,['cs.CV'],"Submitted 9 March, 2018; v1 submitted 18 December, 2017;
      originally announced December 2017."
790,Topic Compositional Neural Language Model,"['Wenlin Wang', 'Zhe Gan', 'Wenqi Wang', 'Dinghan Shen', 'Jiaji Huang', 'Wei Ping', 'Sanjeev Satheesh', 'Lawrence Carin']",https://arxiv.org/abs/1712.09783,"['cs.LG', 'cs.CL']","Submitted 26 February, 2018; v1 submitted 28 December, 2017;
      originally announced December 2017."
791,The CAPIO 2017 Conversational Speech Recognition System,"['Kyu J. Han', 'Akshay Chandrashekaran', 'Jungsuk Kim', 'Ian Lane']",https://arxiv.org/abs/1801.00059,['cs.CL'],"Submitted 9 April, 2018; v1 submitted 29 December, 2017;
      originally announced January 2018."
792,Identifying emergency stages in Facebook posts of police departments with convolutional and recurrent neural networks and support vector machines,"['Nicolai Pogrebnyakov', 'Edgar Maldonado']",https://arxiv.org/abs/1801.00801,['cs.CL'],"Submitted 24 January, 2018; v1 submitted 2 January, 2018;
      originally announced January 2018."
793,"Exploring Architectures, Data and Units For Streaming End-to-End Speech Recognition with RNN-Transducer","['Kanishka Rao', 'Haşim Sak', 'Rohit Prabhavalkar']",https://arxiv.org/abs/1801.00841,"['cs.CL', 'cs.SD', 'eess.AS']","Submitted 2 January, 2018; 
      originally announced January 2018."
794,Recent Advances in Recurrent Neural Networks,"['Hojjat Salehinejad', 'Sharan Sankar', 'Joseph Barfett', 'Errol Colak', 'Shahrokh Valaee']",https://arxiv.org/abs/1801.01078,['cs.NE'],"Submitted 22 February, 2018; v1 submitted 28 December, 2017;
      originally announced January 2018."
795,Deep Anticipation: Light Weight Intelligent Mobile Sensing in IoT by Recurrent Architecture,"['Guang Chen', 'Shu Liu', 'Kejia Ren', 'Zhongnan Qu', 'Changhong Fu', 'Gereon Hinz', 'Alois Knoll']",https://arxiv.org/abs/1801.01444,['cs.CV'],"Submitted 15 October, 2018; v1 submitted 5 December, 2017;
      originally announced January 2018."
796,Learning Hierarchical Features for Visual Object Tracking with Recursive Neural Networks,"['Li Wang', 'Ting Liu', 'Bing Wang', 'Xulei Yang', 'Gang Wang']",https://arxiv.org/abs/1801.02021,['cs.CV'],"Submitted 6 January, 2018; 
      originally announced January 2018."
797,Gated Recurrent Networks for Seizure Detection,"['Meysam Golmohammadi', 'Saeedeh Ziyabari', 'Vinit Shah', 'Eva Von Weltin', 'Christopher Campbell', 'Iyad Obeid', 'Joseph Picone']",https://arxiv.org/abs/1801.02471,"['eess.SP', 'cs.AI', 'stat.ML']","Submitted 2 January, 2018; 
      originally announced January 2018."
798,Neural Program Synthesis with Priority Queue Training,"['Daniel A. Abolafia', 'Mohammad Norouzi', 'Jonathan Shen', 'Rui Zhao', 'Quoc V. Le']",https://arxiv.org/abs/1801.03526,['cs.AI'],"Submitted 23 March, 2018; v1 submitted 10 January, 2018;
      originally announced January 2018."
799,Deep Classification of Epileptic Signals,"['David Ahmedt-Aristizabal', 'Clinton Fookes', 'Kien Nguyen', 'Sridha Sridharan']",https://arxiv.org/abs/1801.03610,"['cs.LG', 'q-bio.NC']","Submitted 10 January, 2018; 
      originally announced January 2018."
800,Multi-Task Spatiotemporal Neural Networks for Structured Surface Reconstruction,"['Mingze Xu', 'Chenyou Fan', 'John D Paden', 'Geoffrey C Fox', 'David J Crandall']",https://arxiv.org/abs/1801.03986,['cs.CV'],"Submitted 20 July, 2018; v1 submitted 11 January, 2018;
      originally announced January 2018."
801,TieNet: Text-Image Embedding Network for Common Thorax Disease Classification and Reporting in Chest X-rays,"['Xiaosong Wang', 'Yifan Peng', 'Le Lu', 'Zhiyong Lu', 'Ronald M. Summers']",https://arxiv.org/abs/1801.04334,['cs.CV'],"Submitted 12 January, 2018; 
      originally announced January 2018."
802,Detecting Offensive Language in Tweets Using Deep Learning,"['Georgios K. Pitsilis', 'Heri Ramampiaro', 'Helge Langseth']",https://arxiv.org/abs/1801.04433,"['cs.CL', 'cs.CY', 'cs.SI']","Submitted 13 January, 2018; 
      originally announced January 2018."
803,Asynchronous Bidirectional Decoding for Neural Machine Translation,"['Xiangwen Zhang', 'Jinsong Su', 'Yue Qin', 'Yang Liu', 'Rongrong Ji', 'Hongji Wang']",https://arxiv.org/abs/1801.05122,['cs.CL'],"Submitted 3 February, 2018; v1 submitted 16 January, 2018;
      originally announced January 2018."
804,Efficient Text Classification Using Tree-structured Multi-linear Principal Component Analysis,"['Yuanhang Su', 'Yuzhong Huang', 'C. -C. Jay Kuo']",https://arxiv.org/abs/1801.06607,['cs.CL'],"Submitted 23 February, 2018; v1 submitted 19 January, 2018;
      originally announced January 2018."
805,Dense Recurrent Neural Networks for Scene Labeling,"['Heng Fan', 'Haibin Ling']",https://arxiv.org/abs/1801.06831,['cs.CV'],"Submitted 21 January, 2018; 
      originally announced January 2018."
806,Waveform Modeling and Generation Using Hierarchical Recurrent Neural Networks for Speech Bandwidth Extension,"['Zhen-Hua Ling', 'Yang Ai', 'Yu Gu', 'Li-Rong Dai']",https://arxiv.org/abs/1801.07910,"['cs.SD', 'eess.AS']","Submitted 24 January, 2018; 
      originally announced January 2018."
807,Classification of sparsely labeled spatio-temporal data through semi-supervised adversarial learning,"['Atanas Mirchev', 'Seyed-Ahmad Ahmadi']",https://arxiv.org/abs/1801.08712,"['stat.ML', 'cs.LG']","Submitted 29 January, 2018; v1 submitted 26 January, 2018;
      originally announced January 2018."
808,Deep Neural Networks In Fully Connected CRF For Image Labeling With Social Network Metadata,"['Chengjiang Long', 'Roddy Collins', 'Eran Swears', 'Anthony Hoogs']",https://arxiv.org/abs/1801.09108,['cs.CV'],"Submitted 27 January, 2018; 
      originally announced January 2018."
809,Transformation Autoregressive Networks,"['Junier B. Oliva', 'Avinava Dubey', 'Manzil Zaheer', 'Barnabás Póczos', 'Ruslan Salakhutdinov', 'Eric P. Xing', 'Jeff Schneider']",https://arxiv.org/abs/1801.09819,['stat.ML'],"Submitted 23 October, 2018; v1 submitted 29 January, 2018;
      originally announced January 2018."
810,Trajectory-based Radical Analysis Network for Online Handwritten Chinese Character Recognition,"['Jianshu Zhang', 'Yixing Zhu', 'Jun Du', 'Lirong Dai']",https://arxiv.org/abs/1801.10109,['cs.CV'],"Submitted 21 January, 2018; 
      originally announced January 2018."
811,Learning Video-Story Composition via Recurrent Neural Network,"['Guangyu Zhong', 'Yi-Hsuan Tsai', 'Sifei Liu', 'Zhixun Su', 'Ming-Hsuan Yang']",https://arxiv.org/abs/1801.10281,['cs.CV'],"Submitted 30 January, 2018; 
      originally announced January 2018."
812,Reinforced Self-Attention Network: a Hybrid of Hard and Soft Attention for Sequence Modeling,"['Tao Shen', 'Tianyi Zhou', 'Guodong Long', 'Jing Jiang', 'Sen Wang', 'Chengqi Zhang']",https://arxiv.org/abs/1801.10296,['cs.CL'],"Submitted 5 July, 2018; v1 submitted 30 January, 2018;
      originally announced January 2018."
813,Nested LSTMs,"['Joel Ruben Antony Moniz', 'David Krueger']",https://arxiv.org/abs/1801.10308,"['cs.CL', 'cs.LG']","Submitted 31 January, 2018; 
      originally announced January 2018."
814,Alternating Multi-bit Quantization for Recurrent Neural Networks,"['Chen Xu', 'Jianqiang Yao', 'Zhouchen Lin', 'Wenwu Ou', 'Yuanbin Cao', 'Zhirong Wang', 'Hongbin Zha']",https://arxiv.org/abs/1802.00150,"['cs.LG', 'stat.ML']","Submitted 31 January, 2018; 
      originally announced February 2018."
815,ChronoNet: A Deep Recurrent Neural Network for Abnormal EEG Identification,"['Subhrajit Roy', 'Isabell Kiral-Kornek', 'Stefan Harrer']",https://arxiv.org/abs/1802.00308,"['eess.SP', 'cs.LG']","Submitted 17 May, 2018; v1 submitted 30 January, 2018;
      originally announced February 2018."
816,One-class Collective Anomaly Detection based on Long Short-Term Memory Recurrent Neural Networks,"['Nga Nguyen Thi', 'Van Loi Cao', 'Nhien-An Le-Khac']",https://arxiv.org/abs/1802.00324,"['cs.LG', 'stat.ML']","Submitted 31 January, 2018; 
      originally announced February 2018."
817,Deep-Temporal LSTM for Daily Living Action Recognition,"['Srijan Das', 'Michal Koperski', 'Francois Bremond', 'Gianpiero Francesca']",https://arxiv.org/abs/1802.00421,['cs.CV'],"Submitted 15 June, 2018; v1 submitted 1 February, 2018;
      originally announced February 2018."
818,Short-term Memory of Deep RNN,['Claudio Gallicchio'],https://arxiv.org/abs/1802.00748,"['cs.LG', 'cs.AI', 'math.DS', 'stat.ML']","Submitted 2 February, 2018; 
      originally announced February 2018."
819,Densely Connected Bidirectional LSTM with Applications to Sentence Classification,"['Zixiang Ding', 'Rui Xia', 'Jianfei Yu', 'Xiang Li', 'Jian Yang']",https://arxiv.org/abs/1802.00889,['cs.CL'],"Submitted 2 February, 2018; 
      originally announced February 2018."
820,"Chemical-protein relation extraction with ensembles of SVM, CNN, and RNN models","['Yifan Peng', 'Anthony Rios', 'Ramakanth Kavuluru', 'Zhiyong Lu']",https://arxiv.org/abs/1802.01255,['cs.CL'],"Submitted 4 February, 2018; 
      originally announced February 2018."
821,Improving Variational Encoder-Decoders in Dialogue Generation,"['Xiaoyu Shen', 'Hui Su', 'Shuzi Niu', 'Vera Demberg']",https://arxiv.org/abs/1802.02032,"['cs.CL', 'cs.AI', 'cs.LG']","Submitted 6 February, 2018; 
      originally announced February 2018."
822,Structural Recurrent Neural Network (SRNN) for Group Activity Analysis,"['Sovan Biswas', 'Juergen Gall']",https://arxiv.org/abs/1802.02091,['cs.CV'],"Submitted 6 February, 2018; 
      originally announced February 2018."
823,Predicting Hurricane Trajectories using a Recurrent Neural Network,"['Sheila Alemany', 'Jonathan Beltran', 'Adrian Perez', 'Sam Ganzfried']",https://arxiv.org/abs/1802.02548,"['cs.LG', 'cs.AI', 'cs.CY', 'physics.ao-ph', 'stat.ML']","Submitted 12 September, 2018; v1 submitted 1 February, 2018;
      originally announced February 2018."
824,Effective Quantization Approaches for Recurrent Neural Networks,"['Md Zahangir Alom', 'Adam T Moody', 'Naoya Maruyama', 'Brian C Van Essen', 'Tarek M. Taha']",https://arxiv.org/abs/1802.02615,['cs.CV'],"Submitted 7 February, 2018; 
      originally announced February 2018."
825,Recurrent Neural Network-Based Semantic Variational Autoencoder for Sequence-to-Sequence Learning,"['Myeongjun Jang', 'Seungwan Seo', 'Pilsung Kang']",https://arxiv.org/abs/1802.03238,['cs.CL'],"Submitted 2 June, 2018; v1 submitted 9 February, 2018;
      originally announced February 2018."
826,"TextZoo, a New Benchmark for Reconsidering Text Classification","['Benyou Wang', 'Li Wang', 'Qikang Wei', 'Lichun Liu']",https://arxiv.org/abs/1802.03656,['cs.CL'],"Submitted 18 March, 2018; v1 submitted 10 February, 2018;
      originally announced February 2018."
827,M-Walk: Learning to Walk over Graphs using Monte Carlo Tree Search,"['Yelong Shen', 'Jianshu Chen', 'Po-Sen Huang', 'Yuqing Guo', 'Jianfeng Gao']",https://arxiv.org/abs/1802.04394,"['cs.AI', 'cs.CL', 'cs.LG']","Submitted 18 December, 2018; v1 submitted 12 February, 2018;
      originally announced February 2018."
828,Recurrent Slice Networks for 3D Segmentation of Point Clouds,"['Qiangui Huang', 'Weiyue Wang', 'Ulrich Neumann']",https://arxiv.org/abs/1802.04402,['cs.CV'],"Submitted 29 March, 2018; v1 submitted 12 February, 2018;
      originally announced February 2018."
829,Detecting Spacecraft Anomalies Using LSTMs and Nonparametric Dynamic Thresholding,"['Kyle Hundman', 'Valentino Constantinou', 'Christopher Laporte', 'Ian Colwell', 'Tom Soderstrom']",https://arxiv.org/abs/1802.04431,"['cs.LG', 'stat.ML']","Submitted 6 June, 2018; v1 submitted 12 February, 2018;
      originally announced February 2018."
830,Deep Learning for Decoding of Linear Codes - A Syndrome-Based Approach,"['Amir Bennatan', 'Yoni Choukroun', 'Pavel Kisilev']",https://arxiv.org/abs/1802.04741,"['cs.IT', 'cs.LG', 'cs.NE']","Submitted 13 February, 2018; 
      originally announced February 2018."
831,Learning via social awareness: Improving a deep generative sketching model with facial feedback,"['Natasha Jaques', 'Jennifer McCleary', 'Jesse Engel', 'David Ha', 'Fred Bertsch', 'Rosalind Picard', 'Douglas Eck']",https://arxiv.org/abs/1802.04877,"['cs.LG', 'cs.CV', 'cs.HC']","Submitted 27 August, 2018; v1 submitted 13 February, 2018;
      originally announced February 2018."
832,Co-training for Extraction of Adverse Drug Reaction Mentions from Tweets,"['Shashank Gupta', 'Manish Gupta', 'Vasudeva Varma', 'Sachin Pawar', 'Nitin Ramrakhiyani', 'Girish K. Palshikar']",https://arxiv.org/abs/1802.05121,"['cs.IR', 'cs.CL']","Submitted 14 February, 2018; 
      originally announced February 2018."
833,Multi-Task Learning for Extraction of Adverse Drug Reaction Mentions from Tweets,"['Shashank Gupta', 'Manish Gupta', 'Vasudeva Varma', 'Sachin Pawar', 'Nitin Ramrakhiyani', 'Girish K. Palshikar']",https://arxiv.org/abs/1802.05130,"['cs.IR', 'cs.CL']","Submitted 14 February, 2018; 
      originally announced February 2018."
834,Event Nugget Detection with Forward-Backward Recurrent Neural Networks,"['Reza Ghaeini', 'Xiaoli Z. Fern', 'Liang Huang', 'Prasad Tadepalli']",https://arxiv.org/abs/1802.05672,['cs.CL'],"Submitted 15 February, 2018; 
      originally announced February 2018."
835,Improved TDNNs using Deep Kernels and Frequency Dependent Grid-RNNs,"['Florian Kreyssig', 'Chao Zhang', 'Philip Woodland']",https://arxiv.org/abs/1802.06412,"['cs.CL', 'cs.AI', 'cs.SD', 'eess.AS', 'stat.ML']","Submitted 20 February, 2018; v1 submitted 18 February, 2018;
      originally announced February 2018."
836,A Generative Modeling Approach to Limited Channel ECG Classification,"['Deepta Rajan', 'Jayaraman J. Thiagarajan']",https://arxiv.org/abs/1802.06458,"['stat.ML', 'cs.LG']","Submitted 13 June, 2018; v1 submitted 18 February, 2018;
      originally announced February 2018."
837,Memorize or generalize? Searching for a compositional RNN in a haystack,"['Adam Liška', 'Germán Kruszewski', 'Marco Baroni']",https://arxiv.org/abs/1802.06467,"['cs.AI', 'cs.LG', 'cs.NE']","Submitted 25 July, 2018; v1 submitted 18 February, 2018;
      originally announced February 2018."
838,DeepASL: Enabling Ubiquitous and Non-Intrusive Word and Sentence-Level Sign Language Translation,"['Biyi Fang', 'Jillian Co', 'Mi Zhang']",https://arxiv.org/abs/1802.07584,['cs.CV'],"Submitted 17 October, 2018; v1 submitted 21 February, 2018;
      originally announced February 2018."
839,High Order Recurrent Neural Networks for Acoustic Modelling,"['Chao Zhang', 'Philip Woodland']",https://arxiv.org/abs/1802.08314,"['cs.CL', 'cs.AI', 'eess.AS', 'stat.ML']","Submitted 22 February, 2018; 
      originally announced February 2018."
840,Can Neural Networks Understand Logical Entailment?,"['Richard Evans', 'David Saxton', 'David Amos', 'Pushmeet Kohli', 'Edward Grefenstette']",https://arxiv.org/abs/1802.08535,"['cs.NE', 'cs.AI']","Submitted 23 February, 2018; 
      originally announced February 2018."
841,Incorporating Discriminator in Sentence Generation: a Gibbs Sampling Method,"['Jinyue Su', 'Jiacheng Xu', 'Xipeng Qiu', 'Xuanjing Huang']",https://arxiv.org/abs/1802.08970,['cs.CL'],"Submitted 25 February, 2018; 
      originally announced February 2018."
842,Revisiting the poverty of the stimulus: hierarchical generalization without a hierarchical bias in recurrent neural networks,"['R. Thomas McCoy', 'Robert Frank', 'Tal Linzen']",https://arxiv.org/abs/1802.09091,['cs.CL'],"Submitted 8 June, 2018; v1 submitted 25 February, 2018;
      originally announced February 2018."
843,Deep Feed-forward Sequential Memory Networks for Speech Synthesis,"['Mengxiao Bi', 'Heng Lu', 'Shiliang Zhang', 'Ming Lei', 'Zhijie Yan']",https://arxiv.org/abs/1802.09194,['cs.CL'],"Submitted 26 February, 2018; 
      originally announced February 2018."
844,Tensor Decomposition for Compressing Recurrent Neural Network,"['Andros Tjandra', 'Sakriani Sakti', 'Satoshi Nakamura']",https://arxiv.org/abs/1802.10410,['cs.LG'],"Submitted 8 May, 2018; v1 submitted 28 February, 2018;
      originally announced February 2018."
845,Learning Longer-term Dependencies in RNNs with Auxiliary Losses,"['Trieu H. Trinh', 'Andrew M. Dai', 'Minh-Thang Luong', 'Quoc V. Le']",https://arxiv.org/abs/1803.00144,"['cs.LG', 'cs.AI', 'stat.ML']","Submitted 13 June, 2018; v1 submitted 28 February, 2018;
      originally announced March 2018."
846,The History Began from AlexNet: A Comprehensive Survey on Deep Learning Approaches,"['Md Zahangir Alom', 'Tarek M. Taha', 'Christopher Yakopcic', 'Stefan Westberg', 'Paheding Sidike', 'Mst Shamima Nasrin', 'Brian C Van Esesn', 'Abdul A S. Awwal', 'Vijayan K. Asari']",https://arxiv.org/abs/1803.01164,['cs.CV'],"Submitted 12 September, 2018; v1 submitted 3 March, 2018;
      originally announced March 2018."
847,CAPS: Context Aware Personalized POI Sequence Recommender System,"['Ramesh Baral', 'Tao Li', 'XiaoLong Zhu']",https://arxiv.org/abs/1803.01245,['cs.IR'],"Submitted 3 March, 2018; 
      originally announced March 2018."
848,Egocentric Basketball Motion Planning from a Single First-Person Image,"['Gedas Bertasius', 'Aaron Chan', 'Jianbo Shi']",https://arxiv.org/abs/1803.01413,['cs.CV'],"Submitted 4 March, 2018; 
      originally announced March 2018."
849,Discovering Underlying Plans Based on Shallow Models,"['Hankz Hankui Zhuo', 'Yantian Zha', 'Subbarao Kambhampati']",https://arxiv.org/abs/1803.02208,['cs.AI'],"Submitted 3 March, 2018; 
      originally announced March 2018."
850,Sparse Adversarial Perturbations for Videos,"['Xingxing Wei', 'Jun Zhu', 'Hang Su']",https://arxiv.org/abs/1803.02536,['cs.CV'],"Submitted 7 March, 2018; 
      originally announced March 2018."
